Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering,anomaly
2022/09/01 00:17,20,800104D70,20,800104D70,6794.63,US Dollar,6794.63,US Dollar,Reinvestment,0,1
2022/09/01 00:02,3196,800107150,3196,800107150,7739.29,US Dollar,7739.29,US Dollar,Reinvestment,0,1
2022/09/01 00:17,1208,80010E430,1208,80010E430,1880.23,US Dollar,1880.23,US Dollar,Reinvestment,0,1
2022/09/01 00:03,1208,80010E650,20,80010E6F0,73966883.0,US Dollar,73966883.0,US Dollar,Cheque,0,-1
2022/09/01 00:02,1208,80010E650,20,80010EA30,45868454.0,US Dollar,45868454.0,US Dollar,Cheque,0,-1
2022/09/01 00:27,3203,80010EA80,3203,80010EA80,13284.41,US Dollar,13284.41,US Dollar,Reinvestment,0,1
2022/09/01 00:25,20,800104D20,20,800104D20,9.72,US Dollar,9.72,US Dollar,Reinvestment,0,1
2022/09/01 00:09,1208,80010E430,1208,80010E430,7.66,US Dollar,7.66,US Dollar,Reinvestment,0,1
2022/09/01 00:09,11,80010E600,11,80010E600,16.33,US Dollar,16.33,US Dollar,Reinvestment,0,1
2022/09/01 00:06,1208,80010E650,1208,80010E650,4.86,US Dollar,4.86,US Dollar,Reinvestment,0,1
2022/09/01 00:25,20,80010E6F0,183112,84DCA3150,3.24,US Dollar,3.24,US Dollar,Credit Card,0,1
2022/09/01 00:16,20,80010EA30,1601,802B6D220,47.17,US Dollar,47.17,US Dollar,Credit Card,0,1
2022/09/01 00:14,20,800073020,20,800073020,848368.76,US Dollar,848368.76,US Dollar,Reinvestment,0,1
2022/09/01 00:05,3566,800345920,3566,800345920,10134.05,US Dollar,10134.05,US Dollar,Reinvestment,0,1
2022/09/01 00:09,11,800329930,2776,800816450,335999.68,US Dollar,335999.68,US Dollar,Cheque,0,1
2022/09/01 00:07,0,8009B22F0,0,8009B22F0,121.98,US Dollar,121.98,US Dollar,Reinvestment,0,1
2022/09/01 00:24,11,8003289F0,249457,825F4B630,45.39,US Dollar,45.39,US Dollar,Credit Card,0,1
2022/09/01 00:22,0,800815DE0,0,800815DE0,23.4,US Dollar,23.4,US Dollar,Reinvestment,0,1
2022/09/01 00:28,2776,800816450,71901,81AB268F0,30.23,US Dollar,30.23,US Dollar,Credit Card,0,1
2022/09/01 00:21,11081,8008DDDF0,11081,8008DDDF0,7.37,US Dollar,7.37,US Dollar,Reinvestment,0,1
2022/09/01 00:15,1601,800970C80,260376,825F955A0,121.38,US Dollar,121.38,US Dollar,Credit Card,0,1
2022/09/01 00:13,544,8009B23E0,1924,8021B47D0,9.29,US Dollar,9.29,US Dollar,Credit Card,0,1
2022/09/01 00:13,21418,800A37E30,1315,8009BDC30,178265.0,US Dollar,178265.0,US Dollar,Cheque,0,1
2022/09/01 00:12,741,800A37DE0,741,800A37DE0,4968.24,US Dollar,4968.24,US Dollar,Reinvestment,0,1
2022/09/01 00:15,1046,8009B3870,1046,8009B3870,15.97,US Dollar,15.97,US Dollar,Reinvestment,0,1
2022/09/01 00:20,1315,8009BDC30,125106,816DF5400,165.63,US Dollar,165.63,US Dollar,Credit Card,0,1
2022/09/01 00:00,1046,800A37D90,274159,820C04F20,26.42,US Dollar,26.42,US Dollar,Credit Card,0,1
2022/09/01 00:19,1601,800A37E80,2190056,8494B0640,298.47,US Dollar,298.47,US Dollar,Credit Card,0,1
2022/09/01 00:09,1601,800A38370,21418,808FC8680,0.09,US Dollar,0.09,US Dollar,Credit Card,0,1
2022/09/01 00:17,0,800A39060,0,800A39060,34776847.1,US Dollar,34776847.1,US Dollar,Reinvestment,0,-1
2022/09/01 00:14,0,800A39060,2310,800A39B80,4332.0,US Dollar,4332.0,US Dollar,Cheque,0,1
2022/09/01 00:27,1488,800AB1FB0,2776,800A3A8C0,369786.0,US Dollar,369786.0,US Dollar,Cheque,0,1
2022/09/01 00:06,31386,800A4A090,31386,800A4A090,1560.89,US Dollar,1560.89,US Dollar,Reinvestment,0,1
2022/09/01 00:19,31857,800AB37C0,31857,800AB37C0,84.38,US Dollar,84.38,US Dollar,Reinvestment,0,1
2022/09/01 00:18,11304,800A39B30,4011,8430C6190,34.33,US Dollar,34.33,US Dollar,Credit Card,0,1
2022/09/01 00:08,2310,800A39B80,48786,82DA69D50,8.69,US Dollar,8.69,US Dollar,Credit Card,0,1
2022/09/01 00:06,20,800A39BD0,4011,8430C6190,59.37,US Dollar,59.37,US Dollar,Credit Card,0,1
2022/09/01 00:10,2776,800A3A8C0,261418,85127D560,0.06,US Dollar,0.06,US Dollar,Credit Card,0,1
2022/09/01 00:05,2776,800A43BE0,2776,800A43BE0,17.2,US Dollar,17.2,US Dollar,Reinvestment,0,1
2022/09/01 00:06,1818,800A48B90,1818,800A48B90,24.63,US Dollar,24.63,US Dollar,Reinvestment,0,1
2022/09/01 00:03,1818,800A48D60,4011,8430C6190,41.4,US Dollar,41.4,US Dollar,Credit Card,0,1
2022/09/01 00:06,1313,800A49290,4011,8430C6190,19.44,US Dollar,19.44,US Dollar,Credit Card,0,1
2022/09/01 00:20,1922,800AB3420,4011,8430C6190,0.18,US Dollar,0.18,US Dollar,Credit Card,0,1
2022/09/01 00:28,1315,800AB6600,1315,800AB6600,7844.45,US Dollar,7844.45,US Dollar,Reinvestment,0,1
2022/09/01 00:05,2954,800AD2E90,1818,800AB6A60,1313043.0,US Dollar,1313043.0,US Dollar,ACH,0,1
2022/09/01 00:17,1924,800ACF6F0,544,800ABDA40,2369525.72,US Dollar,2369525.72,US Dollar,Cheque,0,1
2022/09/01 00:25,20,800ACD160,20,800ACD160,1293.21,US Dollar,1293.21,US Dollar,Reinvestment,0,1
2022/09/01 00:19,1313,800AB4D90,20,800ACD890,601783.0,US Dollar,601783.0,US Dollar,Cheque,0,1
2022/09/01 00:19,21418,800AB4DE0,2310,800ACF520,2567249.0,US Dollar,2567249.0,US Dollar,ACH,0,1
2022/09/01 00:02,1046,800ACF6A0,1046,800ACF6A0,27563.11,US Dollar,27563.11,US Dollar,Reinvestment,0,1
2022/09/01 00:04,31620,800BA9350,0,800ABF260,0.01,US Dollar,0.01,US Dollar,Cheque,0,1
2022/09/01 00:00,21418,800AB4DE0,21418,800AB4DE0,23.61,US Dollar,23.61,US Dollar,Reinvestment,0,1
2022/09/01 00:27,1315,800AB6600,1315,800AB6600,3.8,US Dollar,3.8,US Dollar,Reinvestment,0,1
