Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering,anomaly
2022/09/01 00:03,1208,80010E650,20,80010E6F0,73966883.0,US Dollar,73966883.0,US Dollar,Cheque,0,-1
2022/09/01 00:02,1208,80010E650,20,80010EA30,45868454.0,US Dollar,45868454.0,US Dollar,Cheque,0,-1
2022/09/01 00:17,0,800A39060,0,800A39060,34776847.1,US Dollar,34776847.1,US Dollar,Reinvestment,0,-1
2022/09/01 00:14,20,801DC70B0,15019,802376010,40839293.0,US Dollar,40839293.0,US Dollar,Cheque,0,-1
2022/09/01 00:04,7141,80341F160,7141,80341F160,15957240.75,US Dollar,15957240.75,US Dollar,Reinvestment,0,-1
2022/09/01 00:21,5991,802E47280,5991,802E47280,21017223.83,US Dollar,21017223.83,US Dollar,Reinvestment,0,-1
2022/09/01 00:28,1208,8047E5990,1208,8047E5990,16295937.26,US Dollar,16295937.26,US Dollar,Reinvestment,0,-1
2022/09/01 00:24,20,8002104D0,20,8002106B0,84691544.0,US Dollar,84691544.0,US Dollar,ACH,0,-1
2022/09/01 00:03,0,8002B8F00,20,8002B9040,530444965.0,US Dollar,530444965.0,US Dollar,Cheque,0,-1
2022/09/01 00:27,0,800338500,0,800338500,55223416.3,US Dollar,55223416.3,US Dollar,Reinvestment,0,-1
2022/09/01 00:14,11,80035AF70,2310,800244940,30603720.0,US Dollar,30603720.0,US Dollar,Cheque,0,-1
2022/09/01 00:16,544,80036E4B0,1208,8003A6CE0,35069025.0,US Dollar,35069025.0,US Dollar,Cheque,0,-1
2022/09/01 00:01,1601,8003CEAB0,1601,8003F9930,508708278.14,US Dollar,508708278.14,US Dollar,Cheque,0,-1
2022/09/01 00:15,1601,8003CEAB0,1601,8003F9930,129582060.51,US Dollar,129582060.51,US Dollar,ACH,0,-1
2022/09/01 00:15,544,8003F9620,544,8003FAEC0,34742921.0,US Dollar,34742921.0,US Dollar,Cheque,0,-1
2022/09/01 00:18,20,800436960,20,800436960,18894498.59,US Dollar,18894498.59,US Dollar,Reinvestment,0,-1
2022/09/01 00:29,70,100428660,1208,80045A5B0,31866983.99,US Dollar,31866983.99,US Dollar,Cheque,0,-1
2022/09/01 00:28,70,100428660,1208,80045A5B0,50265151.14,US Dollar,50265151.14,US Dollar,Cash,0,-1
2022/09/01 00:11,20,800487D90,20,800487D90,153046118.91,US Dollar,153046118.91,US Dollar,Reinvestment,0,-1
2022/09/01 00:24,1831,8004B0D30,1831,8004B0D30,15939361.99,US Dollar,15939361.99,US Dollar,Reinvestment,0,-1
2022/09/01 00:28,1208,800532080,11,8005380A0,225342935.0,US Dollar,225342935.0,US Dollar,Cheque,0,-1
2022/09/01 00:01,1818,80053DFC0,214,80053E150,14861934.0,US Dollar,14861934.0,US Dollar,Cheque,0,-1
2022/09/01 00:03,0,800561C00,1818,800561C50,94568603.13,US Dollar,94568603.13,US Dollar,Cheque,0,-1
2022/09/01 00:07,2597,80059DB80,2597,80059DBD0,182871402.0,US Dollar,182871402.0,US Dollar,ACH,0,-1
2022/09/01 00:03,1922,8005A16C0,214,8005A1E40,154547599.0,US Dollar,154547599.0,US Dollar,ACH,0,-1
2022/09/01 00:02,70,100428660,2776,8005A5DB0,37205687.91,US Dollar,37205687.91,US Dollar,Cash,0,-1
2022/09/01 00:11,2597,800588840,867,8005A8FE0,436325192.86,US Dollar,436325192.86,US Dollar,Cheque,0,-1
2022/09/01 00:13,2597,800588840,867,8005A8FE0,799755821.01,US Dollar,799755821.01,US Dollar,ACH,0,-1
2022/09/01 00:14,2954,8005E0EF0,1208,8005E0F40,279869696.16,US Dollar,279869696.16,US Dollar,Cheque,0,-1
2022/09/01 00:09,214,800647CF0,20,800647D90,37386906.0,US Dollar,37386906.0,US Dollar,ACH,0,-1
2022/09/01 00:28,1601,80065FDA0,1601,80065FDA0,19072935.03,US Dollar,19072935.03,US Dollar,Reinvestment,0,-1
2022/09/01 00:16,2310,80077B030,2310,80077B030,74765360.76,US Dollar,74765360.76,US Dollar,Reinvestment,0,-1
2022/09/01 00:16,2310,8008023A0,2310,8008023A0,18807406.81,US Dollar,18807406.81,US Dollar,Reinvestment,0,-1
2022/09/01 00:00,11,80036B4D0,1208,80036B520,42939338.0,US Dollar,42939338.0,US Dollar,ACH,0,-1
2022/09/01 00:25,2954,800888C80,2954,800888C80,27321257.33,US Dollar,27321257.33,US Dollar,Reinvestment,0,-1
2022/09/01 00:16,952,8008C27D0,20,8008C35E0,27811736.36,US Dollar,27811736.36,US Dollar,Cheque,0,-1
2022/09/01 00:05,1924,8009608A0,1924,8009608A0,24171685.29,US Dollar,24171685.29,US Dollar,Reinvestment,0,-1
2022/09/01 00:16,21418,80097EDB0,1601,80097EEF0,15188586.0,US Dollar,15188586.0,US Dollar,ACH,0,-1
2022/09/01 00:26,70,100428660,1818,80098DC60,74989917.29,US Dollar,74989917.29,US Dollar,Cheque,0,-1
2022/09/01 00:23,1818,80098ED80,2776,80098EE20,152671778.0,US Dollar,152671778.0,US Dollar,ACH,0,-1
2022/09/01 00:21,1818,8009B5D80,20,8009B3D90,991377527.0,US Dollar,991377527.0,US Dollar,ACH,0,-1
2022/09/01 00:00,2776,8009CCC70,1924,8009CCCC0,67927783.0,US Dollar,67927783.0,US Dollar,Cheque,0,-1
2022/09/01 00:25,0,800A95710,0,800A95710,24925124.11,US Dollar,24925124.11,US Dollar,Reinvestment,0,-1
2022/09/01 00:00,1046,800996A00,2597,800AAECE0,20651913.51,US Dollar,20651913.51,US Dollar,Cheque,0,-1
2022/09/01 00:11,1208,8006D5FD0,2597,800AD3060,18586428.26,US Dollar,18586428.26,US Dollar,Cheque,0,-1
